"6.1324433:0.0733783,6.1324281:0.0734225,6.13306:0.07324,6.1327733:0.071855,6.1326333:0.0716717,6.1324433:0.0733783"
"6.1324433:0.0733783,6.1324281:0.0734225,6.13306:0.07324,6.1327733:0.071855,6.1326333:0.0716717,6.1324433:0.0733783"
"6.1324433:0.0733783,6.1324281:0.0734225,6.13306:0.07324,6.1327733:0.071855,6.1326333:0.0716717,6.1324433:0.0733783"
"6.7582863:-0.4543351,6.7584861:-0.4468077,6.7621352:-0.4527412,6.7316011:-0.4828276,6.7583947:-0.4543486,6.7564648:-0.4478163,6.7583947:-0.4543486,6.7584306:-0.4543245,6.7572452:-0.4543161,6.7336051:-0.4854832,6.757259:-0.454295,6.756467:-0.4478011,6.757259:-0.454295,6.7582863:-0.4543351"
"5.6007014:-0.1784924,5.6004787:-0.1782885,5.6004412:-0.178306,5.6007014:-0.1784924"
"-0.9850841:34.9283883,-0.9850841:34.9283883,-0.9850841:34.9283883,-0.9850841:34.9283883"
"6.7329406:-0.4810573,6.7581013:-0.4466432,6.7621853:-0.4527318,6.7585303:-0.4545656,6.7329406:-0.4810573"
"6.7565523:-0.4477704,6.7565523:-0.4477704"
"6.7539382:-0.4506103,6.7539442:-0.4506431,6.7540621:-0.4546797,6.7520474:-0.4533941,6.7539382:-0.4506103"
"5.8481413:-0.2220307,5.8482236:-0.222202,5.8477737:-0.222525,5.8476806:-0.2222639,5.8481508:-0.2220233,5.8481413:-0.2220307"
"-0.3780971:35.2496941,-0.3774467:35.247905,-0.377725:35.2478633,-0.3777467:35.247965,-0.3780971:35.2496941"
"0.0113174:37.0841484,0.0113174:37.0841484"
"0.9771052:35.1841027,1.0047795:35.2098667,1.0047795:35.2098667,0.9771052:35.1841027,0.9771052:35.1841027,0.9745129:35.2160489,0.9771052:35.1841027"
"-1.2362967:36.6834433,-1.2362967:36.6834433"
"-1.2268383:36.6777183,-1.2276667:36.67757,-1.2269033:36.677385,-1.22964:36.6769683,-1.2268383:36.6777183"
"-1.2694003:36.8481122,-1.2694046:36.8481078,-1.2694238:36.8480818,-1.2694003:36.8481122"
"-0.1284661:35.0182321,-0.1247164:35.0148931,-0.12688:35.0104174,-0.1317337:35.0187648,-0.1284661:35.0182321"
"-1.2211759:36.9279978,-1.2211759:36.9279978,-1.2211759:36.9279978,-1.2211759:36.9279978,-1.2211759:36.9279978"
"-1.2211759:36.9279978,-1.2211759:36.9279978,-1.2211759:36.9279978,-1.2211759:36.9279978,-1.2211759:36.9279978"
"-1.2523575:36.7767227,-1.2523575:36.7767227"
"0.807832:34.4648026,0.807832:34.4648026,0.807832:34.4648026,0.807832:34.4648026,0.807832:34.4648026,0.807832:34.4648026,0.807832:34.4648026"
"0.807832:34.4648026,0.807832:34.4648026,0.807832:34.4648026,0.807832:34.4648026,0.807832:34.4648026,0.807832:34.4648026,0.807832:34.4648026"
"0.807832:34.4648026,0.807832:34.4648026,0.807832:34.4648026,0.807832:34.4648026,0.807832:34.4648026,0.807832:34.4648026,0.807832:34.4648026"
"0.807832:34.4648026,0.807832:34.4648026,0.807832:34.4648026,0.807832:34.4648026,0.807832:34.4648026"
"0.8127649:34.4592421,0.807832:34.4648026,0.8104971:34.4609627,0.8099968:34.4610127,0.8127649:34.4592421"
"-1.0594598:35.0493129,-1.0594598:35.0493129,-1.0594598:35.0493129,-1.0594598:35.0493129"
"0.3960463:35.0892223,0.3960463:35.0892223"
"-1.0594598:35.0493129,-1.0594598:35.0493129,-0.9709265:34.960481,-1.0518165:34.9921682,-1.0518165:34.9921682,-1.040124:34.9811479,-1.0340405:34.9696307,-1.0340405:34.9696307,-1.0340405:34.9696307,-1.0102326:34.9354084,-1.0102326:34.9354084,-1.0079228:34.914485,-1.0102326:34.9354084,-1.0594598:35.0493129"
"-1.0594598:35.0493129,-1.0594598:35.0493129,-0.9484858:35.0290069,-0.9709265:34.960481,-1.0594598:35.0493129,-0.9484858:35.0290069,-0.9425661:35.0097289,-1.0594598:35.0493129,-1.0594598:35.0493129,-1.0594598:35.0493129,-1.0594598:35.0493129,-1.0594598:35.0493129,-1.0518165:34.9921682,-1.040124:34.9811479,-1.0601277:35.0548188,-1.0518165:34.9921682,-1.0518165:34.9921682,-1.0310379:34.9638316,-1.0310379:34.9638316,-1.034232:35.0109081,-1.034232:35.0109081,-1.034232:35.0109081,-1.034232:35.0109081,-1.034232:35.0109081,-1.034232:35.0109081,-1.034232:35.0109081,-1.034232:35.0109081,-1.034232:35.0109081,-1.0594598:35.0493129"
"-0.0781011:34.7854946,-0.0781011:34.7854946"
"-0.0312653:34.7442103,-0.1024672:34.6062993,-0.1024672:34.6062993,-0.1024672:34.6062993,-0.0312653:34.7442103"
"-0.0780931:34.7855123,-0.078117:34.7865301,-0.0770434:34.7880538,-0.0764746:34.7887794,-0.0742393:34.7889402,-0.0741887:34.786131,-0.0741887:34.786131,-0.0755367:34.7848999,-0.0756327:34.7847414,-0.0780176:34.7850691,-0.0780965:34.7854176,-0.0780931:34.7855123"
"-0.1477111:35.0213373,-0.1247164:35.0148931,-0.1565173:35.0592921,-0.1471275:35.0823428,-0.1477111:35.0213373"
"0.0209985:34.5917695,0.0240534:34.5872115,0.0238082:34.5866902,0.0238811:34.5858878,0.0209985:34.5917695"
"-0.6818396:35.1050271,-0.6860243:35.1049826,-0.6884106:35.0973623,-0.6884106:35.0973623,-0.6818396:35.1050271"
"-1.210468:36.6739353,-1.210468:36.6739353"
"0.9847126:35.1736211,0.9847301:35.1735976,0.9847301:35.1735976,0.9920349:35.1878819,0.9920349:35.1878819,0.9786041:35.2023101,0.9943396:35.1600491,0.979652:35.196814,0.9752283:35.2177661,0.9847126:35.1736211"
"-0.7840546:34.5357036,-0.8128743:34.5322416,-0.8128743:34.5322416,-0.8054572:34.5357036,-0.7840546:34.5357036"
"-3.2837683:37.733385,-3.2855133:37.7404267,-3.2224364:37.6155393,-3.1928392:37.6321752,-3.2837683:37.733385"
"-0.2781992:36.0517919,-0.2781992:36.0517919"
"-0.2834245:36.0531515,-0.2834245:36.0531515"
"-1.1539083:36.9250503,-1.1578357:36.9368087,-1.1561096:36.9391602,-1.1519517:36.9325492,-1.1539083:36.9250503"
"30.3265924:77.8752428,30.3265924:77.8752428"
"30.3265924:77.8752428,30.3265924:77.8752428"
"-0.5028502:35.1067413,-0.5028502:35.1067413,-0.5029738:35.1072043,-0.5028502:35.1067413,-0.5028502:35.1067413,-0.5028502:35.1067413,-0.5028502:35.1067413"
"-1.3262139:36.89017,-1.3262139:36.89017"
"-1.2400389:36.8951818,-1.2400389:36.8951818"
"-1.2400389:36.8951818,-1.2400389:36.8951818,-1.2400389:36.8951818"
"-0.6089634:37.25056,-0.6089634:37.25056"
"-4.0900379:39.6326208,-4.0900379:39.6326208,-4.0900379:39.6326208,-4.0900379:39.6326208,-4.0900379:39.6326208,-4.0900379:39.6326208,-4.0900379:39.6326208,-4.0900379:39.6326208,-4.0900379:39.6326208"
"-0.8931382:34.7417392,-0.8849972:34.7342736,-0.9710103:34.779898,-0.8931382:34.7417392,-0.8931382:34.7417392"
"-1.2498584:36.7259682,-1.2498584:36.7259682"
"0.254111:35.4824718,0.254111:35.4824718"
"0.4788757:34.2211427,0.5069117:34.2330733,0.5070067:34.233115,0.50632:34.233115,0.4788757:34.2211427,0.4788757:34.2211427"
"-1.1902965:36.9324541,-1.1902749:36.9324219,-1.1901374:36.932533,-1.1903392:36.9326754,-1.1903685:36.9325387,-1.1902965:36.9324541"
"-0.7957528:34.7247597,-0.7957528:34.7247597"
"-0.28201:36.0541526,-0.2820022:36.0541618,-0.2834245:36.0531515,-0.2834269:36.0524717,-0.28201:36.0541526"
"-0.7957528:34.7247597,-0.7984228:34.7247165,-0.7954915:34.7276224,-0.7954915:34.7276224,-0.7957528:34.7247597"
"-1.2853994:36.8176364,-1.2853994:36.8176364"
"-0.4812787:37.2332229,-0.4812787:37.2332229"
"-1.2556924:36.7227407,-1.2556924:36.7227407,-1.254325:36.7223133,-1.2556924:36.7227407"
"-0.4804049:37.2351724,-0.4804049:37.2351724,-0.4804049:37.2351724,-0.4804049:37.2351724,-0.4804049:37.2351724,-0.4804049:37.2351724,-0.4836846:37.2381833,-0.4804049:37.2351724,-0.4804049:37.2351724,-0.480874:37.235507,-0.4804049:37.2351724,-0.4804049:37.2351724"
"-1.2524595:36.726765,-1.2524595:36.726765,-1.2493854:36.7227881,-1.2493854:36.7227881,-1.2493854:36.7227881,-1.2493854:36.7227881,-1.2524595:36.726765,-1.2524595:36.726765,-1.2524595:36.726765,-1.2524595:36.726765,-1.2524595:36.726765,-1.2524595:36.726765,-1.2524595:36.726765,-1.2533245:36.727929,-1.2517533:36.7270276,-1.2524595:36.726765"
"-1.2651974:36.7192514,-1.2660233:36.7195486,-1.2656871:36.7194842,-1.2652359:36.7192436,-1.2651974:36.7192514"
"0.5991745:34.4283168,0.5991745:34.4283168,0.5991745:34.4283168,0.5991745:34.4283168,0.5991745:34.4283168"
"0.5991745:34.4283168,0.5991745:34.4283168"
"0.5991745:34.4283168,0.5991745:34.4283168"
"0.5991745:34.4283168,0.5991745:34.4283168"
"-0.6101711:35.3158903,-0.6101711:35.3158903"
"-1.2898017:36.8176467,-1.29113:36.8174633,-1.2910883:36.8166867,-1.290005:36.816845,-1.2898017:36.8176467"
"-1.2906317:36.816515,-1.28965:36.8155167,-1.2883617:36.8149433,-1.2880867:36.8168417,-1.2906317:36.816515"
"-1.2897555:36.8179575,-1.2904532:36.8164685,-1.2906153:36.8171253,-1.2902099:36.8164699,-1.2897555:36.8179575"
"0.4368833:34.2518667,0.432264:34.2551842,0.4368833:34.2518667,0.432264:34.2551842,0.4368833:34.2518667"
"-0.551186:37.3945744,-0.551186:37.3945744,-0.5516647:37.3935729,-0.5516647:37.3935729,-0.551186:37.3945744"
"-0.5670238:37.3175207,-0.5670238:37.3175207"
"0.4283068:34.2609619,0.4283068:34.2609619"
"0.4286004:34.2555315,0.428328:34.2610881,0.428328:34.2610881,0.432264:34.2551842,0.4286004:34.2555315,0.4286004:34.2555315"
"-1.2524228:36.742722,-1.2524228:36.742722,-1.2518933:36.7454164,-1.2518933:36.7454164,-1.2524228:36.742722"
